,날짜,비트코인한국,바이낸스USDT(달러),달러환율,날짜_2,LSTM예측값,바이낸스달러환산,프리미엄가,재측정달러가치,재측정달러가치_예상김프,달러환율_예상김프,LSTM예측값_예상김프,LSTM예측값/달러환율,재측정달러가치/달러환율
765,2020-05-21 00:00:00,11727000.0,9511.43,1227.4,2020-05-21 09:00:00,1226.86181640625,11674329.182000002,-0.004511678331052149,1232.9376339835335,-0.00827286658113248,-0.008618485374594753,-0.008652074875974983,-0.0438474493848817,0.4511678331052149
766,2020-05-22 00:00:00,11533000.0,9067.51,1233.27,2020-05-22 09:00:00,1224.5697021484375,11182688.0577,-0.03132627329783988,1271.9037530700268,-0.005840885142014654,-0.008252122714358212,-0.00879513195894914,-0.7054657821533361,3.1326273297839657
767,2020-05-23 00:00:00,11089000.0,9170.0,1233.27,2020-05-23 09:00:00,1223.650634765625,11309085.9,0.019460980484726886,1209.2693565976008,-0.009750068125651504,-0.008252122714358212,-0.008852493453208737,-0.7799885859848144,-1.9460980484726889
768,2020-05-24 00:00:00,11117000.0,9179.01,1233.27,2020-05-24 09:00:00,1222.368408203125,11320197.6627,0.01795001012831554,1211.132791009052,-0.009633766117447831,-0.008252122714358212,-0.008932520699284283,-0.8839582408454727,-1.7950010128315763
769,2020-05-25 00:00:00,11140000.0,8718.14,1240.56,2020-05-25 09:00:00,1222.70703125,10815375.758399999,-0.03001506825575384,1277.7954930753579,-0.00547316562893542,-0.007797133993212663,-0.008911386314229677,-1.4391056256851664,3.001506825575384
770,2020-05-26 00:00:00,10663000.0,8900.35,1240.95,2020-05-26 09:00:00,1224.60498046875,11044889.332500001,0.034576112173100526,1198.042773598791,-0.010450749695125147,-0.007772793032822162,-0.008792930143058444,-1.317137639006405,-3.4576112173100526
771,2020-05-27 00:00:00,10821000.0,8841.0,1230.99,2020-05-27 09:00:00,1228.478759765625,10883182.59,0.00571364024133314,1223.9565659993214,-0.00883339945310202,-0.008394423713564234,-0.008551157044528232,-0.2040016762422936,-0.571364024133314
772,2020-05-28 00:00:00,10724000.0,9204.07,1238.26,2020-05-28 09:00:00,1231.79638671875,11397031.7182,0.0590532460417067,1165.1367275563964,-0.012504505498525123,-0.007940683246797683,-0.008344094925921877,-0.5219916076793285,-5.905324604170659
773,2020-05-29 00:00:00,11151000.0,9575.87,1238.03,2020-05-29 09:00:00,1233.7685546875,11855214.3361,0.05940123190819224,1164.4894928607007,-0.012544901175682271,-0.00795503817215619,-0.008221006560766075,-0.3442117971696912,-5.940123190819224
774,2020-05-30 00:00:00,11579000.0,9426.6,1238.03,2020-05-30 09:00:00,1235.0465087890625,11670413.598,0.007832935588132472,1228.3325907538242,-0.00856027984998095,-0.00795503817215619,-0.008141245970594235,-0.2409869882747162,-0.7832935588132584
775,2020-05-31 00:00:00,11397000.0,9697.72,1238.03,2020-05-31 09:00:00,1235.6160888671875,12006068.291599998,0.05073003724509306,1175.2246919894574,-0.01187488820958682,-0.00795503817215619,-0.008105696929258707,-0.1949800192897144,-5.073003724509306
776,2020-06-01 00:00:00,11583000.0,9448.27,1231.47,2020-06-01 09:00:00,1235.66748046875,11635261.0569,0.004491610170534899,1225.9387168232915,-0.008709688030809043,-0.008364465608468222,-0.008102489439673996,0.3408512159248644,-0.4491610170534788
777,2020-06-02 00:00:00,11432000.0,10202.71,1223.05,2020-06-02 09:00:00,1234.990478515625,12478424.465499999,0.08385870094362669,1120.4866158108973,-0.01529124037398337,-0.00888998070202729,-0.008144742972302985,0.9762870296083692,-8.38587009436267
778,2020-06-03 00:00:00,12111000.0,9518.02,1220.12,2020-06-03 09:00:00,1233.3140869140625,11613126.5624,-0.042871610407827054,1272.4285092907978,-0.0058081336794904015,-0.009072849968550817,-0.008249371130181468,1.0813761690704693,4.287161040782705
779,2020-06-04 00:00:00,11520000.0,9666.32,1215.95,2020-06-04 09:00:00,1230.383544921875,11753761.804,0.01988825432215635,1191.7668771569738,-0.010842445455907637,-0.009333111006572345,-0.00843227422391106,1.187017963063863,-1.988825432215657
780,2020-06-05 00:00:00,11659000.0,9788.14,1216.54,2020-06-05 09:00:00,1227.385498046875,11907663.835599998,0.02088267178458425,1191.1353944671819,-0.010881858007547415,-0.009296287502391837,-0.008619390480919378,0.891503612448008,-2.088267178458425
781,2020-06-06 00:00:00,11785000.0,9621.17,1216.54,2020-06-06 09:00:00,1223.999267578125,11704538.1518,-0.006874414620761993,1224.9030003627417,-0.008774329911173231,-0.009296287502391837,-0.008830734331465417,0.6131543211176815,0.6874414620761993
782,2020-06-07 00:00:00,11601000.0,9666.85,1216.54,2020-06-07 09:00:00,1220.6680908203125,11760109.699000001,0.013529610103341971,1200.0806881248802,-0.010323557908564207,-0.009296287502391837,-0.009038642130223568,0.3393304634712102,-1.3529610103342082
783,2020-06-08 00:00:00,11641000.0,9746.99,1201.85,2020-06-08 09:00:00,1217.8465576171875,11714419.931499999,0.006267483317938249,1194.317425174336,-0.010683258819331506,-0.010213130343767446,-0.009214741689038325,1.3309945182167215,-0.6267483317938138
784,2020-06-09 00:00:00,11680000.0,9782.0,1195.9,2020-06-09 09:00:00,1215.7120361328125,11698293.8,0.001563800697158113,1194.0298507462687,-0.010701207121287679,-0.010584486021519984,-0.009347962978535379,1.6566632772650136,-0.1563800697158113
785,2020-06-10 00:00:00,11690000.0,9772.44,1198.52,2020-06-10 09:00:00,1214.08740234375,11712464.788800001,0.001918024020143294,1196.221209851378,-0.010564438441341958,-0.010420964697870974,-0.009449360790608818,1.2988854874136369,-0.1918024020143183
786,2020-06-11 00:00:00,11688000.0,9885.22,1190.79,2020-06-11 09:00:00,1212.3494873046875,11771221.123799998,0.007069880254966465,1182.3712572911884,-0.011428851637952,-0.010903415015354523,-0.009557828793500811,1.8105196806059487,-0.7069880254966465
787,2020-06-12 00:00:00,11732000.0,9278.88,1206.2,2020-06-12 09:00:00,1211.5689697265625,11192185.056,-0.0482314169484368,1264.3767351232045,-0.006310666797661332,-0.00994163501633491,-0.009606543017739874,0.4451143862180817,4.82314169484368
788,2020-06-13 00:00:00,11090000.0,9464.96,1206.2,2020-06-13 09:00:00,1211.6392822265625,11416634.751999998,0.028610423219747605,1171.6901075123403,-0.012095491237162179,-0.00994163501633491,-0.009602154623438705,0.4509436433893565,-2.861042321974772
789,2020-06-14 00:00:00,11374000.0,9473.34,1206.2,2020-06-14 09:00:00,1212.2471923828125,11426742.708,0.004615725526319503,1200.6325118701534,-0.010289117088240526,-0.00994163501633491,-0.009564213297709817,0.5013424293494051,-0.4615725526319614
790,2020-06-15 00:00:00,11382000.0,9342.1,1203.61,2020-06-15 09:00:00,1213.1495361328125,11244244.980999999,-0.012251157746275831,1218.3556159749949,-0.009182969972823335,-0.010103283958415435,-0.009507895570844763,0.7925770085669415,1.2251157746275831
791,2020-06-16 00:00:00,11246000.0,9426.05,1208.65,2020-06-16 09:00:00,1214.01611328125,11392795.3325,0.012884926676532071,1193.0766333724096,-0.010760700009340624,-0.009788723854907394,-0.009453810134830834,0.4439757813469391,-1.2884926676532071
792,2020-06-17 00:00:00,11339000.0,9526.97,1212.29,2020-06-17 09:00:00,1215.00244140625,11549450.461299999,0.01822168613174957,1190.2000321193414,-0.010940236514879603,-0.009561541557929376,-0.009392250714772732,0.2237452594882505,-1.822168613174946
793,2020-06-18 00:00:00,11453000.0,9465.13,1215.53,2020-06-18 09:00:00,1215.39892578125,11505149.468899999,0.004532706771082418,1210.020358938546,-0.009703196027615296,-0.009359324348531345,-0.009367505046907781,-0.0107832977178645,-0.4532706771082528
794,2020-06-19 00:00:00,11437000.0,9386.32,1212.6,2020-06-19 09:00:00,1215.726318359375,11381851.632,-0.004845289657875229,1218.4753982391396,-0.009175494036036083,-0.009542193615054873,-0.009347071585942945,0.2578194259751809,0.4845289657875451
795,2020-06-20 00:00:00,11341000.0,9310.23,1212.6,2020-06-20 09:00:00,1215.7640380859375,11289584.897999998,-0.00455420659524064,1218.1224309173888,-0.009197523686287054,-0.009542193615054873,-0.009344717395250127,0.2609300747103305,0.4554206595240639
