"날짜","종가","오픈","고가","저가","변동 %"
"2008년 10월 02일","178.77","173.20","179.15","173.20","3.06%"
"2008년 10월 01일","173.47","173.05","174.71","173.05","-1.62%"
"2008년 09월 30일","176.32","174.51","179.76","174.51","1.81%"
"2008년 09월 29일","173.19","170.20","175.35","170.20","2.10%"
"2008년 09월 26일","169.62","169.79","170.64","168.53","-0.12%"
"2008년 09월 25일","169.83","169.10","171.34","168.57","0.40%"
"2008년 09월 24일","169.16","168.32","170.12","167.35","0.33%"
"2008년 09월 23일","168.60","165.02","169.69","165.02","2.08%"
"2008년 09월 22일","165.17","166.70","167.98","162.68","-1.01%"
"2008년 09월 19일","166.86","163.85","167.80","163.70","-1.18%"
"2008년 09월 18일","168.85","163.18","169.36","163.18","3.43%"
"2008년 09월 17일","163.25","169.30","169.44","162.30","-3.57%"
"2008년 09월 16일","169.29","162.32","170.87","162.32","4.31%"
"2008년 09월 15일","162.30","161.74","162.30","161.33","0.27%"
"2008년 09월 12일","161.87","161.92","163.21","159.94","0.07%"
"2008년 09월 11일","161.75","160.18","162.80","159.05","1.34%"
"2008년 09월 10일","159.61","160.07","160.58","158.22","-0.85%"
"2008년 09월 09일","160.98","157.88","162.45","157.88","1.81%"
"2008년 09월 08일","158.12","163.36","163.88","157.29","-3.23%"
"2008년 09월 05일","163.39","165.07","167.33","162.25","-1.22%"
"2008년 09월 04일","165.41","167.72","167.79","164.40","-1.44%"
"2008년 09월 03일","167.83","165.38","169.61","165.19","1.37%"
"2008년 09월 02일","165.56","163.48","165.92","162.38","1.25%"
"2008년 09월 01일","163.51","159.21","164.44","158.65","2.80%"
"2008년 08월 29일","159.05","158.79","159.50","158.06","0.11%"
"2008년 08월 28일","158.88","158.44","158.88","157.39","0.16%"
"2008년 08월 27일","158.62","159.01","159.78","157.55","-0.26%"
"2008년 08월 26일","159.03","157.46","159.33","157.46","1.11%"
"2008년 08월 25일","157.29","155.60","157.79","155.39","1.05%"
"2008년 08월 22일","155.65","153.37","155.94","153.37","1.14%"
"2008년 08월 21일","153.89","151.41","154.13","151.41","1.60%"
"2008년 08월 20일","151.46","152.91","153.57","151.42","-1.35%"
"2008년 08월 19일","153.54","151.77","153.54","151.77","1.59%"
"2008년 08월 18일","151.14","151.43","152.44","151.10","-0.11%"
"2008년 08월 15일","151.31","151.52","151.57","150.98","-0.15%"
"2008년 08월 14일","151.53","151.37","151.65","151.09","-0.09%"
"2008년 08월 13일","151.67","150.52","151.71","150.52","0.74%"
"2008년 08월 12일","150.56","150.04","150.83","149.88","-0.07%"
"2008년 08월 11일","150.66","150.23","151.20","149.59","0.38%"
"2008년 08월 08일","150.09","148.14","150.20","148.13","1.34%"
"2008년 08월 07일","148.10","148.60","148.69","147.84","-0.15%"
"2008년 08월 06일","148.32","147.93","148.54","147.79","-0.04%"
"2008년 08월 05일","148.38","147.26","148.75","147.26","-0.08%"
"2008년 08월 04일","148.50","147.87","148.79","147.87","0.01%"
"2008년 08월 01일","148.49","148.13","148.56","147.69","0.21%"
"2008년 07월 31일","148.18","148.64","148.96","147.49","-0.36%"
"2008년 07월 30일","148.72","147.07","148.72","147.07","1.09%"
"2008년 07월 29일","147.12","147.30","148.10","147.08","-0.03%"
"2008년 07월 28일","147.16","147.71","147.84","147.02","-0.40%"
"2008년 07월 25일","147.75","147.41","148.12","147.29","0.06%"
"2008년 07월 24일","147.66","147.75","148.25","147.22","1.28%"
"2008년 07월 23일","145.80","149.11","149.20","145.75","-1.65%"
"2008년 07월 22일","148.24","148.99","149.42","148.19","-0.55%"
"2008년 07월 21일","149.06","148.59","149.38","147.97","0.28%"
"2008년 07월 18일","148.64","148.44","148.91","147.79","0.96%"
"2008년 07월 17일","147.23","147.69","148.42","147.19","0.68%"
"2008년 07월 16일","146.24","147.77","148.26","146.20","-0.75%"
"2008년 07월 15일","147.34","146.71","148.15","146.71","0.92%"
"2008년 07월 14일","145.99","146.65","147.44","145.95","-0.23%"
"2008년 07월 11일","146.32","146.46","146.95","145.68","0.25%"
"2008년 07월 10일","145.95","145.42","146.55","145.03","0.20%"
"2008년 07월 09일","145.66","150.54","150.57","144.93","-2.42%"
"2008년 07월 08일","149.27","151.77","151.81","149.23","-1.39%"
"2008년 07월 07일","151.37","151.61","152.27","151.00","-1.01%"
"2008년 07월 04일","152.91","152.82","153.72","151.63","0.24%"
"2008년 07월 03일","152.54","151.42","152.94","150.28","0.83%"
"2008년 07월 02일","151.28","153.53","154.12","150.77","-1.24%"
"2008년 07월 01일","153.18","152.56","153.58","152.29","-0.10%"
"2008년 06월 30일","153.33","151.99","153.33","151.69","0.85%"
