"날짜","종가","오픈","고가","저가","변동 %"
"2021년 10월 25일","1,355.60","1,370.91","1,372.88","1,354.82","-1.15%"
"2021년 10월 22일","1,371.41","1,369.04","1,373.91","1,365.82","0.20%"
"2021년 10월 21일","1,368.70","1,369.94","1,373.21","1,367.00","-0.06%"
"2021년 10월 20일","1,369.49","1,367.66","1,373.07","1,363.76","0.19%"
"2021년 10월 19일","1,366.91","1,376.86","1,378.13","1,365.98","-0.68%"
"2021년 10월 18일","1,376.21","1,371.34","1,379.53","1,369.29","0.38%"
"2021년 10월 15일","1,370.96","1,371.23","1,374.70","1,369.86","0.07%"
"2021년 10월 14일","1,370.05","1,375.94","1,380.83","1,370.43","-0.36%"
"2021년 10월 13일","1,375.02","1,380.81","1,383.22","1,372.58","-0.37%"
"2021년 10월 12일","1,380.12","1,381.69","1,388.26","1,379.07","-0.04%"
"2021년 10월 11일","1,380.69","1,385.70","1,386.30","1,379.72","-0.26%"
"2021년 10월 08일","1,384.33","1,376.10","1,385.82","1,375.73","0.64%"
"2021년 10월 07일","1,375.47","1,376.26","1,378.53","1,373.46","0.00%"
"2021년 10월 06일","1,375.41","1,377.24","1,385.64","1,375.03","-0.03%"
"2021년 10월 05일","1,375.84","1,376.69","1,380.03","1,373.81","-0.01%"
"2021년 10월 04일","1,375.95","1,369.07","1,378.33","1,368.68","0.54%"
"2021년 10월 01일","1,368.50","1,372.20","1,377.09","1,367.36","-0.22%"
"2021년 09월 30일","1,371.46","1,377.76","1,379.73","1,368.21","-0.36%"
"2021년 09월 29일","1,376.45","1,387.44","1,389.31","1,376.92","-0.74%"
"2021년 09월 28일","1,386.72","1,378.05","1,390.02","1,375.78","0.68%"
"2021년 09월 27일","1,377.37","1,383.66","1,384.13","1,375.88","-0.33%"
"2021년 09월 24일","1,381.88","1,379.03","1,384.92","1,376.24","0.24%"
"2021년 09월 23일","1,378.55","1,381.25","1,386.81","1,372.42","-0.18%"
"2021년 09월 22일","1,380.99","1,388.83","1,391.10","1,381.31","-0.50%"
"2021년 09월 21일","1,387.96","1,392.36","1,394.19","1,387.44","-0.16%"
"2021년 09월 20일","1,390.20","1,386.85","1,396.94","1,384.81","0.42%"
"2021년 09월 17일","1,384.36","1,382.94","1,389.52","1,379.32","0.14%"
"2021년 09월 16일","1,382.49","1,378.31","1,385.06","1,377.07","0.33%"
"2021년 09월 15일","1,377.90","1,384.14","1,386.88","1,376.18","-0.40%"
"2021년 09월 14일","1,383.47","1,385.83","1,388.13","1,379.94","-0.10%"
"2021년 09월 13일","1,384.88","1,382.63","1,388.94","1,381.86","0.17%"
"2021년 09월 10일","1,382.51","1,383.42","1,388.01","1,378.22","-0.04%"
"2021년 09월 09일","1,383.10","1,378.97","1,385.21","1,377.82","0.37%"
"2021년 09월 08일","1,378.03","1,376.11","1,383.10","1,375.11","0.18%"
"2021년 09월 07일","1,375.55","1,373.75","1,382.81","1,371.18","0.17%"
"2021년 09월 06일","1,373.18","1,372.92","1,377.76","1,370.94","0.12%"
"2021년 09월 03일","1,371.52","1,375.40","1,377.23","1,369.71","-0.25%"
"2021년 09월 02일","1,374.95","1,368.92","1,377.17","1,367.77","0.52%"
"2021년 09월 01일","1,367.85","1,368.60","1,371.67","1,363.15","-0.02%"
"2021년 08월 31일","1,368.11","1,375.61","1,377.50","1,365.33","-0.38%"
"2021년 08월 30일","1,373.34","1,370.73","1,378.04","1,370.39","0.28%"
"2021년 08월 27일","1,369.44","1,375.82","1,380.28","1,369.19","-0.43%"
"2021년 08월 26일","1,375.37","1,370.31","1,378.68","1,368.59","0.40%"
"2021년 08월 25일","1,369.87","1,367.96","1,372.96","1,366.91","0.16%"
"2021년 08월 24일","1,367.64","1,373.19","1,375.71","1,367.22","-0.36%"
"2021년 08월 23일","1,372.65","1,374.33","1,377.57","1,370.79","-0.13%"
"2021년 08월 20일","1,374.46","1,373.51","1,384.03","1,368.20","0.09%"
"2021년 08월 19일","1,373.19","1,370.64","1,378.02","1,368.64","0.22%"
"2021년 08월 18일","1,370.11","1,378.78","1,381.69","1,367.58","-0.61%"
"2021년 08월 17일","1,378.50","1,372.78","1,388.42","1,371.43","0.45%"
"2021년 08월 16일","1,372.35","1,370.90","1,377.36","1,369.69","0.22%"
"2021년 08월 13일","1,369.37","1,364.15","1,375.59","1,361.06","0.39%"
"2021년 08월 12일","1,364.06","1,354.86","1,368.97","1,353.55","0.71%"
"2021년 08월 11일","1,354.43","1,351.17","1,360.49","1,349.89","0.27%"
"2021년 08월 10일","1,350.73","1,346.55","1,352.56","1,344.82","0.34%"
"2021년 08월 09일","1,346.10","1,347.84","1,350.17","1,343.72","-0.03%"
"2021년 08월 06일","1,346.44","1,352.56","1,354.54","1,346.08","-0.40%"
"2021년 08월 05일","1,351.91","1,355.26","1,357.17","1,350.02","-0.21%"
"2021년 08월 04일","1,354.82","1,362.51","1,364.69","1,352.86","-0.53%"
"2021년 08월 03일","1,362.05","1,365.35","1,369.84","1,361.24","-0.21%"
"2021년 08월 02일","1,364.92","1,366.59","1,370.13","1,364.06","-0.13%"
"2021년 07월 30일","1,366.72","1,359.15","1,370.64","1,357.82","0.59%"
"2021년 07월 29일","1,358.71","1,362.58","1,364.64","1,355.73","-0.25%"
"2021년 07월 28일","1,362.15","1,364.20","1,368.60","1,360.49","-0.04%"
"2021년 07월 27일","1,362.67","1,360.31","1,371.23","1,355.86","0.21%"
"2021년 07월 26일","1,359.88","1,356.96","1,364.29","1,355.06","0.34%"
"2021년 07월 23일","1,355.22","1,354.68","1,359.00","1,351.06","0.08%"
"2021년 07월 22일","1,354.20","1,355.70","1,359.85","1,350.84","-0.08%"
"2021년 07월 21일","1,355.27","1,353.01","1,361.17","1,351.32","0.27%"
"2021년 07월 20일","1,351.60","1,359.26","1,360.37","1,350.56","-0.45%"
"2021년 07월 19일","1,357.75","1,349.06","1,363.40","1,348.36","0.76%"
"2021년 07월 16일","1,347.55","1,348.89","1,351.33","1,343.79","-0.07%"
"2021년 07월 15일","1,348.45","1,354.58","1,358.64","1,345.22","-0.42%"
"2021년 07월 14일","1,354.18","1,354.38","1,359.41","1,351.84","0.02%"
"2021년 07월 13일","1,353.94","1,360.79","1,362.07","1,352.50","-0.39%"
"2021년 07월 12일","1,359.25","1,359.71","1,363.84","1,357.19","0.10%"
