time,Open,High,Low,Close
2006-06-01,118.06,118.1,118.06,118.1
2006-06-02,118.09,118.16,118.09,118.16
2006-06-05,117.68,117.76,117.68,117.76
2006-06-06,117.65,117.69,117.65,117.69
2006-06-07,118.25,118.27,118.25,118.27
2006-06-08,118.83,118.9,118.83,118.9
2006-06-09,119.07,119.13,119.07,119.13
2006-06-12,119.3,119.36,119.3,119.36
2006-06-13,119.77,119.86,119.77,119.86
2006-06-14,120.17,120.25,120.17,120.25
2006-06-15,119.86,119.93,119.86,119.93
2006-06-16,119.43,119.5,119.43,119.5
2006-06-19,119.97,120.03,119.97,120.03
2006-06-20,119.48,119.54,119.48,119.54
2006-06-21,119.37,119.45,119.37,119.45
2006-06-22,119.41,119.45,119.41,119.45
2006-06-23,119.46,119.51,119.46,119.51
2006-06-26,119.84,119.91,119.84,119.91
2006-06-27,119.83,119.87,119.83,119.87
2006-06-28,119.69,119.75,119.69,119.75
2006-06-29,120.07,120.14,120.07,120.14
2006-06-30,118.63,118.71,118.63,118.71
2006-07-03,118.04,118.1,118.04,118.1
2006-07-04,117.97,118.03,117.97,118.03
2006-07-05,118.36,118.41,118.36,118.41
2006-07-06,118.66,118.73,118.66,118.73
2006-07-07,118.6,118.7,118.6,118.7
2006-07-10,117.82,117.9,117.82,117.9
2006-07-11,118.4,118.47,118.4,118.47
2006-07-12,118.58,118.66,118.58,118.66
2006-07-13,118.69,118.77,118.69,118.77
2006-07-14,119.21,119.26,119.21,119.26
2006-07-17,119.21,119.26,119.21,119.26
2006-07-18,119.78,119.85,119.78,119.85
2006-07-19,119.6,119.68,119.6,119.68
2006-07-20,119.0,119.09,119.0,119.09
2006-07-21,118.92,118.99,118.92,118.99
2006-07-24,119.07,119.16,119.07,119.16
2006-07-25,119.11,119.2,119.11,119.2
2006-07-26,119.48,119.56,119.48,119.56
2006-07-27,119.33,119.4,119.33,119.4
2006-07-28,119.62,119.67,119.62,119.67
2006-07-31,119.78,119.84,119.78,119.84
2006-08-01,119.82,119.88,119.82,119.88
2006-08-02,120.7,120.73,120.7,120.73
2006-08-03,121.05,121.1,121.05,121.1
2006-08-04,120.88,120.93,120.88,120.93
2006-08-07,120.76,120.8,120.76,120.8
2006-08-08,120.79,120.86,120.79,120.86
2006-08-09,120.2,120.27,120.2,120.27
2006-08-10,120.09,120.16,120.09,120.16
2006-08-11,120.5,120.56,120.5,120.56
2006-08-14,120.93,120.95,120.93,120.95
2006-08-15,120.63,120.7,120.63,120.7
2006-08-16,120.78,120.82,120.78,120.82
2006-08-17,120.38,120.43,120.38,120.43
2006-08-18,120.12,120.19,120.12,120.19
2006-08-21,119.96,120.04,119.96,120.04
2006-08-22,119.95,120.02,119.95,120.02
2006-08-23,119.83,119.9,119.83,119.9
2006-08-24,120.25,120.32,120.25,120.32
2006-08-25,120.57,120.6,120.57,120.6
2006-08-28,120.91,120.97,120.91,120.97
2006-08-29,120.66,120.7,120.66,120.7
2006-08-30,120.73,120.78,120.73,120.78
2006-08-31,120.78,120.84,120.78,120.84
2006-09-01,120.74,120.78,120.74,120.78
2006-09-04,120.55,120.63,120.55,120.63
2006-09-05,120.4,120.47,120.4,120.47
2006-09-06,120.41,120.47,120.41,120.47
2006-09-07,120.39,120.43,120.39,120.43
2006-09-08,120.24,120.32,120.24,120.32
2006-09-11,120.32,120.38,120.32,120.38
2006-09-12,120.64,120.72,120.64,120.72
2006-09-13,120.61,120.67,120.61,120.67
2006-09-14,120.47,120.51,120.47,120.51
2006-09-15,120.33,120.38,120.33,120.38
2006-09-18,120.3,120.35,120.3,120.35
2006-09-19,119.9,119.97,119.9,119.97
2006-09-20,119.92,119.96,119.92,119.96
2006-09-21,119.1,119.15,119.1,119.15
2006-09-22,119.51,119.58,119.51,119.58
2006-09-25,119.12,119.18,119.12,119.18
2006-09-26,119.31,119.35,119.31,119.35
2006-09-27,119.33,119.38,119.33,119.38
2006-09-28,119.57,119.66,119.57,119.66
2006-09-29,119.58,119.67,119.58,119.67
2006-10-02,119.82,119.9,119.82,119.9
2006-10-03,119.82,119.89,119.82,119.89
2006-10-04,119.96,120.04,119.96,120.04
2006-10-05,119.96,120.04,119.96,120.04
2006-10-06,119.96,120.04,119.96,120.04
2006-10-09,121.9,121.98,121.9,121.98
2006-10-10,121.3,121.39,121.3,121.39
2006-10-11,120.99,121.04,120.99,121.04
2006-10-12,120.97,121.03,120.97,121.03
2006-10-13,120.8,120.88,120.8,120.88
2006-10-16,120.73,120.79,120.73,120.79
2006-10-17,120.45,120.81,120.42,120.69
2006-10-18,120.57,120.88,120.47,120.81
2006-10-19,120.85,121.19,120.79,121.06
2006-10-20,120.61,121.35,120.61,121.11
2006-10-23,121.12,121.53,120.96,121.47
2006-10-24,121.39,121.72,121.17,121.28
2006-10-25,120.9,121.19,120.82,120.96
2006-10-26,120.69,120.83,120.11,120.31
2006-10-27,120.01,120.25,119.65,120.07
2006-10-30,119.48,119.97,119.41,119.92
2006-10-31,119.8,120.14,119.48,119.59
2006-11-01,119.13,119.38,118.97,119.33
2006-11-02,119.02,119.42,119.02,119.27
